Date,Patrol Time,Steward name,High Temperature,Weather,Number of observed gorge users,total Number of people obseved violating a rule,Number of person interactions: Alternatives,Number of person interactions: Warnings,Number of person interactions: Directions,Total number of person interactions (Daily),Number of contacts to CUPD,Number of People above Ithaca Falls?,Description of Interactions,Description of notable events,,,,,,,,,,,,
6/11/2022,11am-3pm,Jen,73,slight rain throughout,124,8,,,,,0,0,All people walking on rocks in casc for photo shoot. Still mostly reunion visitors,getting real tired of getting shat on by spongey moths,,,,,,,,,,,,
6/12/2022,3pm - 7pm,Brenner,71,"Cloudy, light rain",114,1,,,,,0,0,Some lingering reunion people,I couldn't start my shift till 3 becuase I ran into traffic around DC on the way back to ithaca from a triathlon,,,,,,,,,,,,
6/13/2022,11-3,Claire,76,Sunny,81,7,,,,,0,5,many prospective students and visitors; told story of how girl fell into cascadilla but landed on racoon and both she and racoon lived sometime in the 80s,five kids on rocks under stewart rd bridge that got there from ezra's tunnel; two swimmers in hemlock gorge,,,,,,,,,,,,
6/13/2022,3:00-7:00,Jen,76,sunny,67,8,,,,,0,0,mostly children off trail in casc,"pesticides applied in the fall creek picnic area this afternoon, sign says do not enter till 3pm tomorrow. Similar signs scattered across campus",,,,,,,,,,,,
6/14/2022,11am -7pm,Brenner,83,sunny,126,4,,,,,0 (faked a call),4,had to yell at people swimming underneath ithaca falls bridges,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
6/15/2022,3pm - 7pm,Brenner,87,sunny,76,0,,,,,0,0,got to see my parents for a little bit at lunch! No problems today at ithaca falls,,,,,,,,,,,,,
6/15/2022,11am-3pm,Jen,87,sunny,58,0,,,,,0,0,,"saw casc duck family, babies entering gangly teenage phase but also down to 6",,,,,,,,,,,,
6/16/2022,11am-7pm,Brenner,86,cloudy and humid,118,1,,,,,0,0,Gave some directions to a couple walking around beebe lake looking for the wildflower garden,"not too many people later in the day, threat of storms maybe",,,,,,,,,,,,
6/17/2022,11am-7pm,Jen,78,breezy,177,5,,,,,0,0,"All people wading in casc, left amicably","Gave one guy directions on nice gorge hike around casc and fall creek, got accused of being Big Brother's minion by another. May have identified a diseased beech tree by Beebe Lake",,,,,,,,,,,,
6/18/2022,11am-3pm,Anabella,82,sunny,169,7,,,,,0,0,off trail in casc,,,,,,,,,,,,,
6/19/2022,11AM-3PM,Mark,63,Breezy,161,5,,,,,0,0,"5 people swimming in Cascadilla, left without complaint",removed trash,,,,,,,,,,,,
6/19/2022,3pm-7pm,Anabella,64,cold + boggy,48,0,,,,,0,0,howdeedo all the way,,,,,,,,,,,,,
6/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/2022,11am-3pm,Jen,78,overcast,56,4,,,,,0,0,"family wading in casc gorge, father not happy about being told rules",saw a turtle at beebe lake,,,,,,,,,,,,
6/22/2022,4-7pm,mark,84,Sunny,66,4,,,,,0,0,people off trail in cascadilla,"Cascadilla creek is full of sediment...otherwise,I'm sure there would have been people swimming today...Don't konw where the sediment is coming from.",,,,,,,,,,,,
6/23/2022,11am-7pm,Jen,73,cloudy,134,7,,,,,1,4,"people off trail in cascadilla, 4 people swimming by ezra's tunnel","water running higher from rain, sediment seems to have reduced. Saw two snakes. Blackcap raspberries just starting to ripen!",,,,,,,,,,,,
6/24/2022,11am-3pm,david,81,sunny,84,3,,,,,0,0,people wading in cascadilla near the bottom,removed some trash,,,,,,,,,,,,
6/25/2022,11am-7pm,David,88,sunny,153,14,,,,,0,0,"4 people wading in casc, dad leading daughter onto outcropping in the middle of biggest casc falls, 2 wading in casc, one wading in casc, two wading in casc, 2 swimming at fall creek, one guy posing for photos on top of casc waterfall",hot hot hot,,,,,,,,,,,,
6/26/2022,11am-3pm,David,90,sunny,115,2,,,,,0,0,2 people wading at Fall creek gorge,scorching once again... took out some trash,,,,,,,,,,,,
6/27/2022,11am-3pm,David,77,mostly sunny,87,1,,,,,0,0,guy fishing at hemlock gorge,much cooler today,,,,,,,,,,,,
6/27/2022,3pm-7pm,Jen,77,mostly sunny,56,2,,,,,0,0,dog off leash and human off trail in casc gorge,great blue heron in fall creek,,,,,,,,,,,,
6/28/2022,11am-7pm,David,74,mostly sunny,153,0,,,,,0,0,one old couple asked for directions to the botanic gardens welcom center,"surprised there were no violations with the large number of people counted, maybe because of the cool temperatures or the fact that its tuesday",,,,,,,,,,,,
6/29/2022,11am-7pm,david,78,"sunny early, with some clouds/showers later",94,11,,,,,0,5,"one guy in the water at fall creek gorge, 5 people below stewart ave bridge near ezras tunnel who scurried away when I yelled and whistled (seemed like younger high schoolers to me), 3 off trail at casc, 2 off trail at casc",,,,,,,,,,,,,
6/30/2022`,11 am - 3 pm,Claire,82,sunny,74,7,,,,,0,0,several off trail is cascadilla,saw a couple of snakes and a blue heron,,,,,,,,,,,,
6/30/2022,3pm-7pm,Jen,88,sunny,54,3,,,,,0,0,all off trails in casc,black cap raspberries are ripe if you can find a bush that isn't already picked over,,,,,,,,,,,,
7/1/2022,11am-3pm,Claire,86,sunny early; partly cloudy later,77,11,,,,,0,0,off trails in casc; some mom asked me to explain to their kid why they couldn't swim in casc,"stopped by dairy bar at the end of the circiut and ate it at hemlock gorge, highly recommend!!",,,,,,,,,,,,
7/1/2022,3pm-7pm,Jen,90,high humidity,43,5,,,,,0,0,all off trails in casc,^seconded,,,,,,,,,,,,
7/2/2022,11am-3pm,Jen,78,partial clouds,140,3,,,,,0,0,all off trails in casc,lots of children with families,,,,,,,,,,,,
7/3/2022,11am-3pm,Claire,78,sunny with some clouds,192,15,,,,,0,0,all off trails in casc,lots of families and gave some people directions to triphammer falls; and took some pictures :),,,,,,,,,,,,
7/3/2022,3pm-7pm,Anabella,78,sun + cloud speckles,281,18,,,,,0,0,all off trails in casc,lots of families!! and prospective students! lots of q's about cornell :D,,,,,,,,,,,,
7/4/2022,11am -7pm,Mark,78,sun,258,26,,,,,0,0,"all off trail, swimming, etc. in Cascadilla, plus one above the tennis courts",Everyone was nice about getting out of the water. gave some directions to other swimming options. I'm tired! What a lot of exercise that was today.,,,,,,,,,,,,
7/5/2022,11am-7pm,Jen,78,overcast and rainy,91,4,,,,,0,0,off trail in casc,got rained on. Am damp,,,,,,,,,,,,
7/6/2022,3pm-7pm,Mark,75,sun and clouds,106,6,,,,,0,0,"fishing in cascadilla, kids on falls, couple people off trail","Gave some directions, got chatted at by a hobo, Jehovah's Witnesses tried to save my soul, also.",,,,,,,,,,,,
7/7/2022,11am-7pm,Jen,82,sunny,186,8,,,,,0,0,"one dog off leash, rest off trail in casc","saw what I think might be a mink in casc, looked like it got a crawdad or similar small bit",,,,,,,,,,,,
7/8/2022,11am-3pm,Jen,78,sunny,105,2,,,,,0,0,off trail in casc,"took pics for a family, yelled directions to woman on bridge how to get to casc entrance",,,,,,,,,,,,
7/9/2022,11am-3pm,Jen,76,sunny,211,13,,,,,0,0,"1 dog off leash, rest off trail in casc",saw the mink again. Has anyone seen the casc duckings lately?,,,,,,,,,,,,
7/10/2022,3pm-7pm,Brenner,83,sunny,87,0,,,,,0,0,got to pet a dog,"good to be back, lots of friendly faces today",,,,,,,,,,,,
7/11/2022,11am-3pm,Claire,86,sunny,78,8,,,,,0,0,off trail in casc and hemlock gorge,man read a poem to me,,,,,,,,,,,,
7/11/2022,3pm -7pm,Brenner,90,,73,1,,,,,0,0,1 person off trail in casc,,,,,,,,,,,,,
7/12/2022,11am-7pm,Jen,90,some clouds,77,9,,,,,0,0,"2 people with off leash dog under bridge by tenis court, rest off trail in casc","carried aglae covered folding chair our of casc, had a chat with Phil of the botanic gardens on the nature of drought, change, and growing plants",,,,,,,,,,,,
7/13/2022,11am -7pm,Brenner,83,Sun then rain,116,0,,,,,0,0,ran into a few families coming from IRONMAN Musselman in Geneva,"Rainy day for about two hours, kinda scared everyone off",,,,,,,,,,,,
7/14/2022,11am-7pm,Jen,79,cloudy,133,4,,,,,0,0,all off campus in casc gorge - mostly kids and photographers,,,,,,,,,,,,,
7/15/2022,11am-3pm,Claire,84,sunny,92,14,,,,,0,0,all off trail in casc,one family was trying to climb up one of the waterfalls in casc,,,,,,,,,,,,
7/15/2022,3pm-7pm,Brenner,85,Sunny,97,3,,,,,0,0,people off trail in casc,,,,,,,,,,,,,
7/16/2022,11am-3pm,Jen,82,overcast,98,10,,,,,0,0,"all people off trail in casc, mostly a big family group from out of town","talked to one of the dads about the cornell gorges, gave directions to flat rock",,,,,,,,,,,,
7/17/2022,3pm-7pm,Brenner,81,overcast,94,2,,,,,0,0,Dogs off leashes around beebee,,,,,,,,,,,,,
7/18/2022,11am-3pm,Claire,79,clouds and rainy,64,5,,,,,0,0,all people off trail in casc :),someone said they like my running vest :) and saw a great blue heron flying over hemlock gorge,,,,,,,,,,,,
7/18/2022,3pm-7pm,Brenner,79,rainy,42,0,,,,,0,0,none,"some peolple trail running in the rain, craziness",,,,,,,,,,,,
7/19/2022,11am-7pm,Jen,90,humid and sunny,108,3,,,,,0,0,off trail in casc,"water is unusually clear, esp in Beebe",,,,,,,,,,,,
7/20/2022,11am -7pm,Brenner,95,really hot,96,0,,,,,0,0,"no major interactions, literally no one in casc I think its too hot",n/a,,,,,,,,,,,,
7/21/2022,11am-7pm,Jen,89,"humid, no rain",105,8,,,,,0,0,"some group in casc decided to try climbing one of the waterfalls, left amicably",am dead,,,,,,,,,,,,
7/22/2022,11am-3pm,Claire,90,hot and sunny,62,8,,,,,0,0,just people off trail in casc,didn't see too many today cause the heat,,,,,,,,,,,,
7/22/2022,3pm-7pm,Brenner,90,humid lots of rain,57,0,,,,,0,0,"no major interactions, only about an hour of no rain",,,,,,,,,,,,,
7/23/2022,11am-3pm,Jen,92,hot and humid,78,7,,,,,0,0,all off trail in casc,"got ice cream, saw snake",,,,,,,,,,,,
7/23/2022,3pm-7pm,Anabella,90,hot & steamy & rainy,42,6,,,,,0,0,off trail in fall creek behind risley,saw friends off trail behind Risley in fall creek gorge :P,,,,,,,,,,,,
7/24/2022,11am-3pm,Anabella,96,sunny with few clouds,147,13,,,,,0,0,swimming in hemlock gorge + off-trail in that space,,,,,,,,,,,,,
7/24/2022,3pm-7pm,Brenner,86,"humid, bad storms",64,3,,,,,0,0,some people of trail in casc,"terrible storms today, blew down a tree in the parking lot of my apartment",,,,,,,,,,,,
7/25/2022,11am-3pm,Claire,80,Sunny,76,16,,,,,0,0,people off trail in casc,one guy was karate chopping the water fall in mid casc,,,,,,,,,,,,
7/25/2022,3pm-7pm,Brenner,81,Sunny,79,2,,,,,0,0,off trail in casc,"Some kind of incident at a home near ithaca falls, tons of firefighter. Almost freaked out but it wasn't related to the gorge, hope everyone is okay",,,,,,,,,,,,
7/26/2022,11am-7pm,Jen,82,sunny,117,12,,,,,0,0,"3 dogs off leash, all others off trail in casc",,,,,,,,,,,,,
7/27/2022,11am-7pm,Brenner,88,Sunny w some clouds,127,6,,,,,0,0,,,,,,,,,,,,,,
7/28/2022,11am-7pm,Jen,86,sunny and humid,99,4,,,,,0,0,all off trail in casc,saw large-ish fish in beebe,,,,,,,,,,,,
7/29/2022,3pm-7pm,Brenner,83,sunny,104,0,,,,,0,0,"Some peope said hello, no one of trails",,,,,,,,,,,,,
7/30/2022,11am-3pm,Jen,82,fairly mild and breezy,87,2,,,,,0,0,photographers in casc,guy left amicably but I've caught him doing this before. Got ice cream for my last day. Good luck!,,,,,,,,,,,,
7/30/2022,3pm-7pm,Anabella,85,cloudy and muggy,48,3,,,,,0,0,,"3 folks swimming in upper casc, they left after i asked once",,,,,,,,,,,,
7/31/2022,11am-3pm,Anabella,80,cloudy and muggy,132,0,,,,,0,0,"""howdeedo!"" lots of families & prospective students!! happy chatting.",,,,,,,,,,,,,
7/31/2022,3pm-7pm,Brenner,84,partly cloudy and humid,91,1,,,,,0,0,one person of trail in casc,bye Jen!,,,,,,,,,,,,
8/1/2022,11am-7pm,Brenner,86,Partly cloudy,134,5,,,,,0,0,a group of trail in casc,happy to be picking up more hours,,,,,,,,,,,,
8/2/2022,11am-7pm,Brenner,85,Cloudy and muggy,129,6,,,,,0,0,lots off different groups of trail in casc,,,,,,,,,,,,,
8/3/2022,11am-7pm,Brenner,90,hot,137,0,,,,,0,0,pet some cute dogs on the trail,"got time period locked out on work day, will be entering it for today (thursday) rather than wednesday, thats what danielle had me do last time",,,,,,,,,,,,
8/5/2022,11am-7pm,Brenner,86,stormy,92,0,,,,,0,0,no interactions lots of afternoon rain,some bad storms,,,,,,,,,,,,
8/6/2022,11am-7pm,Brenner,88,warm and cloudy,113,2,,,,,0,0,dogs of leash in casc,took my break for Odyssey Tech Training,,,,,,,,,,,,
8/13/2022,12-5pm,Mark,75,sunny and dry,346,8,,,,,0,0,"6 off trail in cascadilla, 2 dog off leash instances",Soooooo many people out today. I think it might be a record for me...,,,,,,,,,,,,
8/15/2022,12-7pm,Brenner,83,Sunny,239,3,,,,,0,0,People of trail in casc,,,,,,,,,,,,,
8/16/2022,11AM-7PM,Phillip,87,Partly Cloudy,267,4,,,,,,,4 dogs off leash,People everywhere!,,,,,,,,,,,,
8/17/2022,11am - 7pm,Brenner,81,cloudy with storms,243,6,,,,,0,0,dogs of leash and families of trail,move in goes crazy,,,,,,,,,,,,
8/18/2022,11AM-7PM,Phillip,79,cloudy with some rain,199,3,,,,,,,2 people off trail and 1 dog off leash,Met a super friendly dog named Clifford. He was not red.,,,,,,,,,,,,
8/19/2022,3PM-7PM,Phillip,82,cloudy with some rain,102,6,,,,,0,0,"3 swimming in hemlock gorge, 3 people off trail",More move in schenanigans than yesterday,,,,,,,,,,,,
8/20/2022,11am-7pm,David,86,Sunny and hot,245,0,,,,,0,0,"not really any violations every though there were tons of people, I think most people were just taking photos and stuff",I took down a rope swing at hemlock gorge,,,,,,,,,,,,
8/21/2022,11AM-7PM,Phillip,82,cloudy with some rain,205,5,,,,,0,0,1 dog off leash and 4 people wandering off trail,Lots of friendly people trying to get in some last steps in nature before classes start,,,,,,,,,,,,
8/27/2022,11AM-7PM,Phillip,79,Sunny and beautiful,197,6,,,,,0,0,2 dog off leash and 2 people wandering off trail and 2 people swimming in hemlock gorge,The weather today was impeccable!!!,,,,,,,,,,,,
8/28/2022,11am-7pm,David,87,partly cloudy,175,5,,,,,0,0,"1 dog off leash, two swimming at fall creek, and two off trail around beebe climbing a tree that went over the water",I gave a couple people directions and took out a couple bits of trash,,,,,,,,,,,,
9/3/2022,3PM-7PM,Phillip,82,Partly cloudy,121,6,,,,,0,0,"3 dogs off leash, 1 person in the water of Hemlock Gorge, 2 people off trail",The parents have returned and the trails are generally in good use!,,,,,,,,,,,,
9/3/2022,11pm-3pm,David,84,Partly cloudy,156,3,,,,,0,0,"one dog off leash, one older child running around under waterfall at casc, one off trail at casc","I forgot to log my numbers yesterday cause I went to the Adirondacks after, sorry:)",,,,,,,,,,,,
5/20/2021,11-7pm,Mark,83,Sunny,57,17,,,1,,1,0,"11 Swimmers under the suspension bridge (call police), 6 swimmers in upper casdadilla",,,,,,,,,,,,,
5/21/2021,11-7pm,Mark,86,Sunny,68,12,,,,1,0,0,"8 Swimmers upper cascadilla, 3 under lower cascadilla falls, 1 dog off leash",,,,,,,,,,,,,
5/22/2021,11-7pm,Mark,81,Sunny,87,15,,,,,0,4,"10 Under suspension bridge, 2 jumping the cascadilla gate, 2 in upper cascadilla",Red plate in upper cascadilla. Why must you sit in the river?,,,,,,,,,,,,
5/23/2021,11-7pm,Mark,75,Sun and Clouds,55,7,,,,0,0,0,"4 in closed cascadilla, 3 above tennis courts",,,,,,,,,,,,,
5/24/2021,11-7pm,Mark,72,Sun and Clouds,69,4,,,,,0,0,"2 swimming under suspension bridge, 2 jumping the fence behind Risley",Found Cascadilla fencing displaced,,,,,,,,,,,,
5/25/2021,12-3pm,Mark,82,Sun then Rain,31,7,,,,0,0,0,All seven jumped the fence behind Risley,Found Cascadilla fencing displaced,,,,,,,,,,,,
5/26/2021,1-7pm,Mark,80,Sun and T-storms,38,4,,,,,0,0,4 jumping the cascadilla gate,Red plate has moved downstream.,,,,,,,,,,,,
5/27/2021,11am-7pm,Mark,65,Sun,88,0,,,,0,0,0,"Trash accumulating under Lamda Chi Alpha, removed table and trash from under north campus bridge. ",,,,,,,,,,,,,
7/1/,11am-7pm,Mark,54,Rain,34,0,,,,,0,0,Cold day,,,,,,,,,,,,,
5/29/2021,12pm-7pm,Mark,55,Sun and Sprinkles,54,2,,,,0,0,0,Two over the risley fence,"Blue is humanity's year round trash color. There is nothing blue here but trash. Red is humanity's trash color, but only in spring. Red plate is now laughing at me. It is lodged in the river, but the water is too high for me to reach it. Damn you, Red plate!",,,,,,,,,,,,
5/30/2021,1pm-5pm,Mark,65,Sun and sprinkles,24,0,,,,,0,0,,,,,,,,,,,,,,
5/31/2021,,,,,,,,,,0,,,,,,,,,,,,,,,,
6/1/2021,12pm-7pm,Mark,72,Sunny,66,0,,,6,,0,0,,Gates to Cascadilla where completely flattened. I put them back up and wired them in place. In the gorge were lots of beer and liquor bottles. Pretty gross.,,,,,,,,,,,,
6/2/2021,3pm-7pm,Mark,65,Clouds and light rain,24,0,,,,6,0,0,,"Wire gone from the gate today, flattened again, more trash is coming down from LXA",,,,,,,,,,,,
6/3/2021,11am-4pm,Mark,72,Sun and Rain,22,0,,,,,0,0,,Weirdly quiet today. Almost no one around...Red plate mocks me. It now sits above the second falls in upper cascadilla.,,,,,,,,,,,,
6/4/2021,11am-7pm,Mark,82,Sunny,101,2,,,,0,0,0,Under suspension bridge - came across two people past the sign taking off their shoes!,"Water was very high today. Had those two gone in, they'd have gone right over the falls! Moved a whole lot of rocks that fell in cascadilla.",,,,,,,,,,,,
6/5/2021,,,89,Sunny,,,,,,,,,,,,,,,,,,,,,,
6/6/2021,11am-6pm,Mark,90,Sunny and HOT,48,6,,,,0,1,2,"2 people above ithaca falls, 4 under the suspension bridge on fall creek","Removed trash from under LXA. They paid for the gorge clean up.  $3900, so I tipped them back with some extra beer bottle removal. Keg cups, too.",,,,,,,,,,,,
6/7/2021,11am-7pm,Mark,90,Sunny and HOT,57,2,2,,,,0,0,"1 person in cascadilla, 1 person on the falls above the tennis courts",,,,,,,,,,,,,
6/8/2021,11am-1:30pm,"Mark, Phillip, Hannah",81,Sunny,6,1,,,,2,0,0,"One woman in Hemlock gorge falls area, plus dog off leash",Training day. we toss rocks at red plate. Red plate remains defiant.,,,,,,,,,,,,
6/9/2021,"11am-2:15pm, 5pm-7pm",Hannah,81,Sunny,37,5,,,,,0,0,"2 people below suspension bridge above horseshoe falls, 3 people on Cascadilla Gorge trail closed section","Red plate has migrated downstream, still too far away to reach.",,,,,,,,,,,,
6/10/2021,"11am-5pm, 5pm-7pm","Phillip, Hannah",77,Sunny,74,4,,,,0,0,0,"1 family with a puppy (Molly) off leash near Beebe Beach. They were very willing to put Molly back on a leash. 2 people at the base of the falls below Beebe, 1 person underneath suspension bridge.","Red plate Appeared within reach, I took off my shoes to get it but the ground was too slippery to cress the gorge. May be possibe with water shoes. I ripped my shorts on the fence.",,,,,,,,,,,,
6/11/2021,"11am-2pm, 2:40pm-7pm",Hannah,81,Sunny,17,0,,,,,0,0,No violations today.,"I retreived the infamous red plate! I also met Todd Bittner from the Botanic Gardens, he says to tell Mark hello.",,,,,,,,,,,,
6/12/2021,11am-3pm,"Hannah, Phillip",81,Sunny,44,0,,,,0,0,0,No violations today.,I helped a lost couple find triphammer falls. Someone vomitted their chili onto the wobbly footbridge connecting West campus with Cayuga Heights,,,,,,,,,,,,
6/13/2021,"11am-4pm, 4:40pm-6:45pm",Hannah,81,Sunny,48,0,,,,,0,0,No violations today.,"Talked to a family from Alabama and another family from California, and saw a bunch of chipmunks. ",,,,,,,,,,,,
6/14/2021,"1pm-4:30pm, 5pm-7pm",Hannah,70,Sunny then rainy,23,0,,,,0,0,0,No violations today.,,,,,,,,,,,,,
6/15/2021,"2pm-4pm, 4:30pm-7pm",Hannah,60,Clouds and light rain,29,5,,,,,0,0,Family of five past the signs in upper Hemlock Gorge,Training day!,,,,,,,,,,,,
6/16/2021,12:30pm-4:45pm,Hannah,60,Windy and chilly,13,0,,,,0,0,0,No violations today.,,,,,,,,,,,,,
6/17/2021,"11am-1:15pm, 5pm-7pm",Hannah,72,Sunny,19,0,,,,,0,0,No violations today.,,,,,,,,,,,,,
6/18/2021,"11am-2pm, 2pm-6pm","Euna, Mark",81,Sunny with some clouds / light rain,56,6,,,,0,0,0,6 people (in pairs!) exploring under the suspension bridge,Talked to someone who just graduated from her masters and lived in an apt in the Odyssey house!!,,,,,,,,,,,,
6/19/2021,11am-7pm,Phillip,79,Cloudy w rain for last hour,52,10,,,,,2,10,"""Party"" (group of 10 people drinking and smoking) above Ithaca falls busted by me. Warned them I was calling the cops, called the cops, told them I called the cops, they left, called the cops again to let them know I had handled the case. ","Generally nice day, great temperature, rainy at the end. Cleaned up some trash from Beebe Lake trail. Would love to get my hands on a whistle to more easily capture the attention of our violators",,,,,,,,,,,,
6/20/2021,11am-7pm,Phillip,82,Sunny with some clouds,45,0,,,,0,0,0,No violations today.,Met a very nice dog named Mabel and helped a family find a nice spot to have a picnic,,,,,,,,,,,,
6/21/2021,11am-4:15pm,Hannah,82,Sunny then stormy,13,0,,,,,0,0,No violations today.,Was going to go back out after my break but it was thundering so decided to stay home.,,,,,,,,,,,,
6/23/2021,"11AM-3PM, 3-7pm","Phillip, Euna",70,Sunny and Beautiful.,58,2,,,,0,0,0,1 person fishing in Bebe and 1 person walking under the bridge in the collegetown gorge,Beautiful day. Met a very nice family and their dog,,,,,,,,,,,,
6/24/2021,11am-7pm,Phillip,76,Sunny,31,3,,,,,0,0,3 students swimming in the hemlock gorge area,The parking garage felt so nice today! Not many ppl on trail but those I met were very nice,,,,,,,,,,,,
6/25/2021,11AM-3PM; 3PM-7PM,"Phillip, Emily",80,Sunny and Beautiful.,63,0,,,,0,0,0,No violations today.,"Saw Josh from the climbing wall and Emily at the start of her shift!; Saw Phillip at the end of his shift, and saw someone fall on roller skates by Stocking Hall",,,,,,,,,,,,
6/26/2021,11-3PM; 3PM-7PM,"Emily, Phillip",88,Sunny and HOT,70,0,,,,,0,0,Talked to some people who wanted to go down into Cascadilla Gorge about repairs,"Saw a deer, caught a toad. Saw a BABY DEER while on the Beebe Lake Trail",,,,,,,,,,,,
6/27/2021,"11-3PM, 3-7PM","Emily, Phillip",91,Sunny and SUPER HOT,65,12,,,,0,0,0,Talked to some women with dogs in the gorge behind Risley; lots of studentsswiming in hemlock gorge area; family of 4 trying to hop over fence to get to lower cascadilla,Consumed 10 ice pops in the first hour of shift before they melted; SOOOO HOTTTTT,,,,,,,,,,,,
6/28/2021,"11am-5pm, 5:30pm-7pm",Hannah,91,Sunny then rainy,25,0,,,,,0,0,No violations today.,"Super hot at the beginning, then rainy but it was nice to cool off. Had the sweetest interaction with a little girl at Beebe. Otherwise a very slow Monday. ",,,,,,,,,,,,
6/29/2021,11am-3pm; 3PM-7PM,"Hannah, Phillip",95,super hot and sunny; brief rain storm,21,4,,,,0,0,0,"Two people swimming in the falls below Beebe, they were locals and weren't wanting to leave. They asked about our patrolling hours and I was pretty vague, it seemed like they were trying to figure out when they could go without getting in trouble. They were nice about it though; Two people swimming in upper cascadilla",Nothing notable to report.,,,,,,,,,,,,
6/30/2021,"11am-3pm,3-7pm","Euna, Hannah",89,"not too hot but very humid, did rain and thunder for a little",26,0,,,,,0,0,No violations today. Just some people running but very quiet,Nothing notable to report.,,,,,,,,,,,,
7/1/2021,"11am-3pm, 4pm-7pm",Hannah,80,sunny,14,0,,,,0,0,0,No violations today.,Nothing notable.,,,,,,,,,,,,
7/2/2021,11-3pm;3pm-7pm,"Euna, Phillip",70,little misty at first but then gorgeous; bit of spotty drizzles but nice and cool,55,0,,,,,0,0,No violations today. Helped an old couple find gorges and hikes!; told two students planning to find Ezra's tunnel about the dangers of swimming in the gorges while they were on Stewart Ave Bridge,Weather today was the best in a while!,,,,,,,,,,,,
7/3/2021,11-7pm,Phillip,66,Rainy,22,2,,,,0,0,0,Two dogs off leash. One at upper cascadilla and one on Beebe Lake Trail,Very quiet day for a weekend,,,,,,,,,,,,
7/4/2021,"11am-2pm, 3pm-7pm",Hannah,79,sunny,73,2,,,,,0,0,Two people below Thurston bridge.,Nothing notable.,,,,,,,,,,,,
7/5/2021,11-3pm;3pm-7pm,"Phillip, Euna",83,Sunny,62,2,,,,0,0,0,"Two people swimming in in hemlock gorge, but they happily left when requested","Didn't see anyone in the gorge, but the trail that goes to the one under the bridge which construction is happening looked pretty worn/used",,,,,,,,,,,,
7/6/2021,11-3pm; 3-7pm,"Emily, Audrey",90,"Humid, Thunderstorms ",53,1,,,,,1,0,"Took a photo for a couple who graduated in 1999; One person treading water in Hemlock Gorge, swimming into the strong current for exercise? Ignored requests to get out, called CUPD","Watched a bird eat a gypsy moth; picked up some trash by Risley gorge. I watched a mink swim across Bebe lake. Moved twigs, sticks, small branches from the trail… me, not the mink. ",,,,,,,,,,,,
7/7/2021,11-7pm,Phillip,80,"Sunny, Cloudy, Verge of raining",55,2,,,,0,0,0,"Two people ""clif jumping"" into the yellow mush in hemlock gorge (gag).",So many smiling faces today. Such a great day :),,,,,,,,,,,,
7/8/2021,11-7pm,Mark,79,"Cloudy, ended in rain",83,1,,,,,0,0,First time I've seen someone climbing over the lower gate in the clsoed section of Cascadilla.,"Made the run down to lower cascadilla, just to check in, collect trash and so on. Amazingly, I only found three beer cans, and they were pretty well hidden in the undergrowth. Either people got suddenly better about trash, or someone is helping us out down there!",,,,,,,,,,,,
7/9/2021,11-3:30pm,Mark,80,"Sunny, then rain",32,0,1,,,1,0,0,No violations. Water was high again today. No one in their right mind would jump in there...,"Saw Jules and checked in on Cascadilla closure. They are fixing the chain, inspecting the cliff above, and if nothing looks like it is going to come crashing down, the area will be reopened.",,,,,,,,,,,,
7/10/2021,11-3pm,Emily,75,Partly cloudy,40,0,,,,,0,0,No violations today; lots of people walking around Bebe,Saw a tree down in Cascadilla Gorge,,,,,,,,,,,,
7/11/2021,11-3pm; 3-7pm,"Euna, Audrey",67,overcast then rainy,102,0,,,,0,0,0,"No violations today, very quiet and once the rain came it emptied out. ","Some determined tourists and runners with rain gear in the early afternoon, but only one human after 5:30 pm.",,,,,,,,,,,,
7/12/2021,11-3pm; 3-7pm,"Emily, Euna",78,"Grey and cloudy, humid; humid and a little rainy but some sun",51,0,,,,,0,0,No violations; Talked to a woman who was walking her dog; a guy asked when Cascadilla will be open again,The water is moving SUPER fast after all those storms -- highest I've ever seen any of the gorges/falls,,,,,,,,,,,,
7/13/2021,"11-3:30, 4-7",Audrey,86,"Humid, clouds and some sun",61,0,,,,0,0,0,"no violations. Gave some directions, lunch recommendations ",Uneventful,,,,,,,,,,,,
7/14/2021,"11am-4pm, 4:30pm-7pm",Hannah,75,Humid and rainy,12,0,,,,,0,0,No violations today.,"Very slow and quiet day, the water was really high so there wasn't much space for people to get down into the gorge. ",,,,,,,,,,,,
7/15/2021,"11am-3pm, 3pm-7pm","Audrey, Hannah",89,"Sun, a few clouds",80,0,,,,0,0,0,No violations. Chatted with a couple I've seen every shift this week.,So many moths today.,,,,,,,,,,,,
7/16/2021,"11-3pm, 3-7pm","Euna, Hannah",76,overcast but not too hot,44,0,,,,,0,0,No violations.,"^ Lots of butterflies and lots of visitors on campus, but not many in the gorges/on trails",,,,,,,,,,,,
7/17/2020,"11-3pm, 11-4:30","Euna, Audrey",77,"rain, cloudy, rain",62,0,,,,0,0,0,no violations,"Left for lunch as the heavy thunderstorms rolled in, ended up heading for home since the rain continued through the rest of the shift",,,,,,,,,,,,
